code|description_serbian|description_latin
A00|Kolera NOVA|Cholera
A00.0|Kolera, uzročnik Vibrio cholerae 01,biotip cholerae|Cholera classica
A00.1|Kolera, uzročnik Vibrio cholerae 01,biotip El Tor|Cholera El Tor
A00.9|Kolera, neozačena|Cholera, non specificata
A01|Tifusna groznica i paratifusna groznica|Febris typhica et febris paratyphica
A01.0|Trbušni tifus|Typhus abdominalis
A01.1|Paratifus A|Paratyphus A
A01.2|Paratifus B|Paratyphus B
A01.3|Paratifus C|Paratyphus C
A01.4|Paratifus, neoznačen|Paratyphus, non specificatus
A02|Druge infekcije uzrokovane salmonelama|Salmonelloses aliae
A02.0|Zapaljenje tankog creva uzrokovano salmonelama|Enteritis salmonellosa
A02.1|Sepsa uzrokovana salmonelama|Salmonellosis septica
A02.2|Lokalizovana infekcija salmonelama|Infectio per salmonellam localisata
A02.8|Druga označena infekcija salmonelama|Infectio per salmonellam alia, specificata
A02.9|Salmonelozna infekcija, neoznačena|Infectio per salmonellam, non specificata
A03|Dizenterija, uzročnik Shigellae|Shigellosis
A03.0|Dizenterija, uzročnik Shigella dysenteriae|Dysenteria bacillaris per Shigellam dysenteriae
A03.1|Dizenterija, uzročnik Shigell flexneri|Dysenteria bacillaris per Shigellam flexneri
A03.2|Dizenterija, uzročnik Shigella boydi|Dysenteria bacillaris per Shigellam boydi
A03.3|Dizenterija,uzročnik Shigella sonnei Shigellosis D|Dysenteria bacillaris per Shigellam sonnei
A03.8|Druga dizenterija|Shigellosis alia
A03.9|Dizenterija, neoznačena|Shigellosis, non specifiata
A04|Druge infekcije creva uzrokovane bakterijama|Infectiones intestinales bacteriales aliae
A04.0|Infekcija creva,uzročnik enteropatogena Escherichia coli|Infectio intestinalis per Escherichiam coli enteropathogenem
A04.1|Infekcija creva,uzročnik enterotoksigena Escherichia coli|Infectio intestinalis per Escherichiam coli enterotoxigenem
A04.3|Infekcija creva,uzročnik enterohemoragijska Escherichia coli|Infectio intestinalis per Escherichiam coli enterohaemorrhagicam
A04.4|Druga infekcija creva,uzročnik Escherichia coli|Infectio intestinalis per Escherichiam coli alia
A04.5|Zapaljenje creva, uzročnik Campylobacter|Enteritis campylobacterialis
A04.6|Zapaljenje tankog creva,uzročnik Yersinia enterocolitica|Enteritis yersiniosa enterocolitica
A04.7|Zapaljenje creva, uzročnik Clostridium difficile|Enterocolitis per Clostridium difficile
A04.8|Druga označena infekcija creva uzrokovana bakterijama|Infectio intestinalis bacterialis alia,specificata
A04.9|Infekcija creva, uzrokovana bakterijama ,neoznačena|Infectio intestinalis bacterialis, non specificata
A05|Druga trovanja hranom uzrokovana bakterijama|Intoxicationes alimentariae bacteriales aliae
A05.0|Trovanje hranom uzrokovano stafilokokom|Intoxicatio allmentaria staphylococcica
A05.1|Trovanje konzervisanom hranom od mesa|Botulismus
A05.2|Trovanje hranom,uzročnik Clostridium perfringens (Clostridium welchii)|Intoxicato ailmentaria per Clostridium perfringentem (Clostridium welchii)
A05.3|Trovanje hranom,uzročnik Vibrio parahaemolytica|Intoxicatio alimentaria per Vibrionem parahaemolyticam
A05.4|Trovanje hranom, uzročnik Bacillus cereus|Intoxicatio alimentaria per Bacillum cereum
A05.8|Druga označena trovanja hranom uzrokovana bakterijama|Intoxicationes alimentariae bacteriales aliae ,specificatae
A05.9|Trovanje hranom uzrokovano bakterijama ,neoznačeno|Intoxicatio alimentaria bacterialis,non specificata
A06|Amebijaza,uzročnik patogena ameba|Amoebiasis
A06.0|Akutna dizenterija uzrokovana amebama|Dysenteria amoebica acuta
A06.1|Hronična amebijaza creva|Amoebiasis intestinalis chronica
A06.2|Nedizenteričko zapaljenje debelog creva uzrokovano amebama|Colitis amoebica non dysenterica
A06.3|Amebom,tumor creva uzrokovan amebama|Amoeboma intestinale
A06.4|Zagnoj jetre uzrokovan amebama|Abscessus hepatis amoebicus
A06.5|Zagnoj pluća uzrokovan amebama|Abscessus pulmonis amoebicus (J99.8*)
A06.6|Zagnoj mozga uzrokovan amebama|Abscessus cerebri amoebicus (G07*)
A06.7|Amebijaza kože|Amoebiasis cutanea
A06.8|Infekcija druge lokalizacije uzrokovana amebama|Infectio amoebica loci alterius
A06.9|Amebijaza, neoznačena|Amoebiasis, non specificata
A07|Druge infecije creva uzrokovane protozoama|Infectiones intestinales protozoicae aliae
A07.0|Balantidijaza, uzročnik Balantidium coli|Balantidiasis
A07.1|Gjardijaza, uzročnik Lamblia intestinalis|Giardiasis (lambliasis)
A07.2|Kriptosporidijaza, uzročnik Cryptosporidium|Cryptosporidiasis
A07.3|Izosporijaza ,uzročnik Isospora belli et Isospora hominis|Isosporiasis
A07.8|Druge označene infekcije creva uzrokovane protozoama|Infectiones intestinales protozoicae aliae,specificatae
A07.9|Infekcije creva uzrokovane protozoama,neoznačene|Infectio intestinalis protozoica,non specificata
A08|Infekcije creva uzrokovane virusima|Infectiones intestinales virales
A08.0|Zapaljenje tankog creva uzrokovano rotavirusima|Enteritis rotaviralis
A08.1|Akutno Norwalkovo zapaljenje želuca i tankog creva|Gastroenteritis acuta Norwalk
A08.2|Zapaljenje tankog creva uzrokovano adenovirusima|Enteritis adenoviralis
A08.3|Druga zapaljenja tankog creva uzrokovana virusima|Enteritis viralis alia
A08.4|Infekcija creva uzrokovana virusima,neoznačena|Infectio intestinalis viralis, non specificata
A08.5|Druge označene infekcije creva|Infectiones intestinales aliae,specificatae
A09|Proliv i želudačno -crevno zapaljenje,verovatno zaraznog porekla|Diarrhoea et gastroenteritis, causa infectionis suspecta
A15|Tuberkuloza organa za disanje potvrđena bakteriološki i histološki|Tuberculosis organorum respiratoriorum,per bacteriologiam et histologiam confirmata
A15.0|Tuberkuloza pluća,potvrđena mikroskopijom ispljuvka|Tuberculosis pulmonis, per microscopiam sputi confirmata
A15.1|Tuberkuloza pluća, potvrđena samo kulturom|Tuberculosis pulmonis, solum culture confirmata
A15.2|Tuberkuloza pluća, potvrđena histološki|Tuberculosis pulmonis, per histologiam confirmata
A15.3|Tuberkuloza pluća, potvrđena neoznačenim metodama|Tuberculosis pulmonis, methodis non specificatis confirmata
A15.4|Tuberkuloza limfnih čvorova u grudnom košu,potvrđena bakteriološki i histološki|Tuberculosis lymphonodorum intrathoracalium,per bacteriologiam et histologiam confirmata
A15.5|Tuberkuloza grkljana,dušnika i dušnice,potvrđena bakteriološki i histološki|Tuberculosis laryngis, tracheae et bronchi,per bacteriologiam et histologiam confirmata
A15.6|Tuberkulozno zapaljenje porebrice,potvrđeno bakteriološki i histološki.|Pleuritis tuberculosa,per bacteriologiam et histologiam confirmata
A15.7|Primarna tuberkuloza pluća,potvrđena bakteriološki i histološki|Tuberculosis pulmonis primaria, per bacteriologiam et histologiam confirmata
A15.8|Druga tuberkuloza pluća,potvrđena bakteriološki i histološki|Tuberculosis pulmonis,per bacteriologiam et histologiam confirmata alia
A15.9|Tuberkuloza organa za disanje,potvrđena bakteriološki i histološki ,neoznačena|Tuberculosis organorum respiratoriorum,per bacteriologiam et histologiam confirmata,non specificata
A16|Tuberkuloza organa za disanje,nepotvrđena bakteriološki i histološki|Tuberculosis organorum respiratoriorum,per bacteriologiam et histologiam non confirmata
A16.0|Tuberkuloza pluća, bakteriološki i histološki negativna|Tuberculosis pulmonis, bacteriologice et histologice negativa
A16.1|Tuberkuloza pluća,bez bakteriološkog i histološkog ispitivanja|Tuberculosis pulmonis, sine exploratione bacteriologica et histologica
A16.2|Tuberkuloza pluća, bez bakteriološke ili histološke potvrde|Tuberculosis pulmonis,sine confirmatione bacteriologica sive histologica
A16.3|Tuberkuloza limfnih čvorova u grudnom košu|Tuberculosis lymphonodorum intrathoracalium
A16.4|Tuberkuloza grkljana,dušnika i dušnice|Tuberculosis laryngis, tracheae et bronchi
A16.5|Tuberkulozno zapaljenje porebrice|Pleuritis tuberculosa
A16.7|Primarna tuberkuloza pluća|Tuberculosis pulmonis primaria
A16.8|Druga tuberkuloza organa za disanje|Tuberculosis organorum respiratoriorum alia
A16.9|Tuberkuloza organa za disanje, neoznačena|Tuberculosis organorum respiratoriorum,non specificata
A17|Tuberkuloza nervnog sistema|Tuberculosis systematis nervosi
A17.0|Tuberkulozno zapaljenje moždanica|Meningitis tuberculosa (G01*)
A17.1|Tuberkulozni čvorić moždanica|Tuberculoma meningium (G07*)
A17.8|Druga tuberkuloza nervnog sistema|Tuberculosis systematis nervosi alia
A17.9|Tuberkuloza nervnog sistema, neoznačena|Tuberculosis systematis nervosi, nonspecificata
A18|Tuberkuloza drugih organa|Tuberculosis organorum aliorum
A18.0|Tuberkuloza kostiju i zglobova|Tuberculosis ossium et articulorum
A18.1|Tuberkuloza polno-mokraćnog sistema|Tuberculosis systematis genitourinarii
A18.2|Tuberkuloza perifernih limfnih čvorova|Tuberculosis lymphoglandularum peripherica
A18.3|Tuberkuloza žlezda creva,trbušne maramice i opornjaka|Tuberculosis glandularum intestinalium,peritonaealium et mesentericarum
A18.4|Tuberkuloza kože i potkožnog tkiva|Tuberculosis cutis et subcutis
A18.5|Tuberkuloza oka|Tuberculosis oculi
A18.6|Tuberkuloza uva|Tuberculosis auris
A18.7|Tuberkuloza nadbubrežnih žlezda|Tubercuiosis glandularum suprarenalium
A18.8|Tuberkuloza drugih označenih organa|Tuberculosis organorum ailorum,specificatorum
A19|Rasejana tuberkuloza|Tuberculosis miliaris
A20|Kuga|Pestis
A20.0|Kuga čvorova prepona|Pestis bubonica
A20.1|Kuga kože|Pestis cellulocutanea
A20.2|Kuga pluća|Pestis pneumonica
A20.3|Zapaljenje moždanica uzrokovano kugom|Meningitis pestica
A20.7|Sepsa uzrokovana kugom|Pestis septica
A20.8|Drugi oblici kuge|Pestis, formae aliae
A20.9|Kuga, neoznačena|Pestis, non specificata
A21|Tularemija - Kuga glodara|Tularaemia
A21.0|Ulcerozna tularemija žlezda|Tularaemia ulceroglandularis
A21.1|Tularemija žlezda oka|Tularaemia oculoglandularis
A21.2|Tularemija pluća|Tularaemia pulmonalis
A21.3|Tularemija želuca i creva|Tularaemia gastrointestinalis
A21.7|Generalizovana tularemija|Tularaemia generalisata
A21.8|Drugi oblici tularemije|Tularaemia, formae aliae
A21.9|Tularemija, neoznačena|Tularaemia, non specificata
A22|Antraks - Crni prišt|Anthrax
A22.0|Antraks kože|Anthrax cutaneus
A22.1|Antraks pluća|Anthrax pulmonalis
A22.2|Antraks želuca i creva|Anthrax gastrointestinalis
A22.3|Sepsa - trovanje uzrokovano antraksom|Anthrax septicus
A22.8|Drugi oblici antraksa|Anthrax, formae aliae
A22.9|Antraks, neoznačen|Anthrax, non specificatus
A23|Bruceloza - Mediteranska groznica|Brucellosis
A23.0|Bruceloza, uzročnik Brucella melitensis|Brucellosis per Brucellam melitensem
A23.1|Bruceloza, uzročnik Brucella abortus|Brucellosis per Brucellam abortus
A23.2|Bruceloza, uzročnik Brucella suis|Brucellosis per Brucellam suis
A23.3|Bruceloza, uzročnik Brucella canis|Brucellosis per Brucellam canis
A23.8|Druga bruceloza|Brucellosis alia
A23.9|Bruceloza, neoznačena|Brucellosis, non specificata
A24|Sakagija i Melioidoza ,uzročnik Pseudomonas pseudomallei|Malleus et melioidosis
A24.0|Sakagija|Malleus
A24.1|Akutna i perakutna melioidoza|Melioidosis acuta et fulminans
A24.2|Subakutna i hronična melioidoza|Melioidosis subacuta et chronica
A24.3|Druga melioidoza|Melioidosis alia
A24.4|Melioidoza, neoznačena|Melioidosis, non specificata
A25|Groznica posle ujeda miša|Febris post morsum muris
A25.0|Spiriloza uzrokovana spirilama|Spirillosis
A25.1|Streptobaciloza uzrokovana streptokokom|Streptobacillosis
A25.9|Groznica posle ujeda miša, neoznačena|Febris post morsum muris, non specificata
A26|Erizipeloid - Oboljenje slično crvenom vetru|Erysipeloides
A26.0|Erizipeloid kože|Erysipeloides cutaneus
A26.7|Erizipeloidna sepsa|Erysipeloides septicus
A26.8|Drugi oblici erizipeloida|Erysipeloides, formae aliae
A26.9|Erizipeloid, neoznačen|Erysipeloides, non specificatus
A27|Leptospiroza,uzročnik Leptospira interrogans|Leptospirosis
A27.0|Leptospiroza sa žuticom i krvarenjima|Leptospirosis icterohaemorrhagica
A27.8|Drugi oblici leptospiroze|Leptospirosis, formae aliae
